Escola,Morada,Freguesia,Código Postal,Telefone,Email,Número Agrupamento,Agrupamento,Sede Escola,Número Escolas Agrupadas
"Escola Básica de Gandarela, Celorico de Basto",Rua Nossa Senhora da Oliveira Vila de Gandarela de Basto,Basto (São Clemente),4890-542,-,-,151737,Agrupamento de Escolas de Celorico de Basto,Não,18
"Escola Básica da Mota, Celorico de Basto",Lugar da Mota,Fervença,4890-314,255490700,eb23.motafervenca@escolas.min-edu.pt,151737,Agrupamento de Escolas de Celorico de Basto,Não,18
Escola Básica e Secundária de Celorico de Basto,Rua Dr. Baltazar Rebelo de Sousa,Gémeos Cbt,4890-377,255320260,servicos@agrcbt.edu.gov.pt,151737,Agrupamento de Escolas de Celorico de Basto,Sim,18
"Escola Básica de Forjães, Esposende",Rua da Pedreira,n.º 207,Forjães,-,-,152894,-,-,-
"Escola Básica António Rodrigues Sampaio, Esposende",Rua da Escola,Antas Eps,4740-013,253872326,eb1.estradaguilheta@escolas.min-edu.pt,152894,"Agrupamento de Escolas António Rodrigues Sampaio, Esposende",Não,10
"Escola Básica de Apúlia, Esposende",Avenida da Praia,Apúlia,4740-033,253960030,eb23.apulia@escolas.min-edu.pt,150850,"Agrupamento de Escolas António Correia de Oliveira, Esposende",Não,12
"Escola Básica Antonio Correia Oliveira, Esposende",Avenida da Praia,Apúlia,4740-033,253960030,eb23.apulia@escolas.min-edu.pt,150850,"Agrupamento de Escolas António Correia de Oliveira, Esposende",Não,12
"Escola Básica de Arões - Santa Cristina, Fafe",Avenida Fonte da Cruz (CM 1578),Arões (Santa Cristina),4820-640,253591036,eb1.mastacristina@escolas.min-edu.pt,152882,Agrupamento de Escolas de Fafe,Não,6
Associação Cultural e Recreativa de Fornelos,Rua da Quintã - Fornelos,Fornelos Faf,4820-422,253490846,-,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Montelongo, Fafe",Parque da Cidade - Apartado 324,4820-000,Fafe,253490220,servicos@aemontelongo.edu.gov.pt,150496,"Agrupamento de Escolas de Montelongo, Fafe",Sim,8
"Escola Básica Padre Joaquim Flores, Revelhe, Fafe",Revelhe,Aboim Faf,4820-001,253509010,eb23.revelhe@escolas.min-edu.pt,150496,"Agrupamento de Escolas de Montelongo, Fafe",Não,8
"Escola Básica de Silvares, São Martinho, Fafe",Rua Dr. Parcídio Summavielle,São Martinho Silvares,4820-715,253459010,eb23.ssmartinho@escolas.min-edu.pt,150502,"Agrupamento de Escolas Professor Carlos Teixeira, Fafe",Não,8
"Escola Básica Arquiteto Fernando Távora, Fermentões, Guimarães",R. Caneiros,4800-080,Guimarães,253557207,eb1.n9.guimaraes@escolas.min-edu.pt,150514,"Agrupamento de Escolas Arquiteto Fernando Távora, Guimarães",Não,5
"Escola Básica de Abação, Guimarães",Ucha de Baixo,Moreira De Cónegos,4815-371,253581026,eb1.uchabaixo@escolas.min-edu.pt,152924,"Agrupamento de Escolas de Abação, Guimarães",Não,6
"Escola Básica do Vale de São Torcato, Guimarães",Rua António Gomes Marinho,4800-000,Guimarães,253552847,eb1.bvssaolourenco@escolas.min-edu.pt,150307,"Agrupamento de Escolas do Vale de São Torcato, Guimarães",Não,4
"Escola Básica Virgínia Moura, Moreira de Cónegos, Guimarães",Avenida 1º de Agosto,Moreira De Cónegos,4815-254,253560160,servicos@aevm.edu.gov.pt,150290,"Agrupamento de Escolas Virgínia Moura, Guimarães",Sim,5
"Escola Básica D. Afonso Henriques, Creixomil, Guimarães",R. Alberto Vieira Braga,4835-011,Guimarães,253413410,servicos@aedah.edu.gov.pt,151038,"Agrupamento de Escolas D. Afonso Henriques, Guimarães",Sim,5
"Escola Básica de Pevidém, Selho - São Jorge, Guimarães",R. da Circunvalação,4835-315,Guimarães,253532335,servicos@aepevidem.edu.gov.pt,151040,"Agrupamento de Escolas de Pevidém, Guimarães",Sim,6
"Escola Básica Gil Vicente, Urgeses, Guimarães",Avenida da Igreja-Urgeses,4810-502,Guimarães,253522403,servicos@agv.edu.gov.pt,151063,"Agrupamento de Escolas Gil Vicente, Guimarães",Sim,4
"Escola Básica Professor Abel Salazar, Guimarães",Rua 13 de Maio,Ronfe,4805-374,253540040,servicos@aepas.edu.gov.pt,150812,"Agrupamento de Escolas Professor Abel Salazar, Guimarães",Sim,5
"Escola Básica Professor João de Meira, Guimarães",R. Calouste Gulbenkian,4810-257,Guimarães,253516914,servicos@aejoaodemeira.edu.gov.pt,151749,"Agrupamento de Escolas João de Meira, Guimarães",Sim,3
"Escola Básica Egas Moniz, Guimarães",Rua Comandante José Luís de Pina,4810-532,Guimarães,253439260,eb23.egasmoniz@escolas.min-edu.pt,151014,"Agrupamento de Escolas Francisco de Holanda, Guimarães",Não,4
"Escola Básica e Secundária Santos Simões, Guimarães",Rua Dr. Santos Simões,4810-767,Guimarães,253439090,servicos@aesantossimoes.edu.gov.pt,152912,"Agrupamento de Escolas Santos Simões, Guimarães",Sim,6
Colégio de Nossa Senhora da Conceição,Rua Das Mondas,993 Candoso (Santiago),4835-133,253424200,geral@colegionsconceicao.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Caldas de Vizela, Vizela",Monte,Santa Eulália,Santa Eulália Viz,253582288,eb1.montestaeulalia@escolas.min-edu.pt,151786,"Agrupamento de Escolas de Caldas de Vizela, Vizela",Não,9
"Escola Básica de Briteiros, Guimarães",Rua da escola,Barco Gmr,4805-016,253472250,eb1.csclaudiabarco@escolas.min-edu.pt,151750,"Agrupamento de Escolas de Briteiros, Guimarães",Não,8
"Escola Básica das Taipas, Caldas das Taipas, Guimarães",Lugar do Trigal - Apartado 4025,4800-000,Guimarães,253470670,servicos@aetaipas.edu.gov.pt,151026,"Agrupamento de Escolas das Taipas, Guimarães",Sim,7
Colégio do Ave,,-,-,-,-,,-,-,-
Colégio Arautos do Evangelho,Rua de Sezim,Apartado 2009,Balazar Gmr,253410306,it.sezim@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica e Secundária Arqueólogo Mário Cardoso, Ponte, Guimarães",R. Monte da Insua - Apartado 4090,Ponte Gmr,4805-286,253479790,servicos@aeamc.edu.gov.pt,151051,"Agrupamento de Escolas Arqueólogo Mário Cardoso, Guimarães",Sim,6
"Escola Básica do Ave, Póvoa de Lanhoso",Lugar de Porto de Ave,Taíde,4830-755,253949110,eb23.taide@escolas.min-edu.pt,150915,Agrupamento de Escolas de Póvoa de Lanhoso,Não,5
"Escola Básica Gonçalo Sampaio, Póvoa de Lanhoso",R. 25 de Novembro - S. Pedro,4830-523,Póvoa de Lanhoso,253631149,servicos@agoncalosampaio.edu.gov.pt,150320,"Agrupamento de Escolas Gonçalo Sampaio, Póvoa de Lanhoso",Sim,6
"Escola Básica de Rio Caldo, Terras de Bouro",Rua 2,nº 15,Rio Caldo,253390200,eb23.riocaldo@escolas.min-edu.pt,150319,Agrupamento de Escolas de Terras de Bouro,Não,6
Escola Básica e Secundária de Terras de Bouro,Avenida Doutor Artur Adriano Arantes,4840-100,Terras de Bouro,253359010,servicos@aetb.edu.gov.pt,150319,Agrupamento de Escolas de Terras de Bouro,Sim,6
"Escola Básica e Secundária Vieira de Araújo, Vieira do Minho",Rua Drª Maria Júlia Alves Martins,4850-549,Vieira do Minho,253647201,servicos@aeva.edu.gov.pt,150605,"Agrupamento de Escolas Vieira de Araújo, Vieira do Minho",Sim,5
"Escola Básica de Ribeirão, Vila Nova de Famalicão",R. Luís de Camões,4760-000,Vila Nova de Famalicão,252493260,eb1.serralousado@escolas.min-edu.pt,150630,"Agrupamento de Escolas de Ribeirão, Vila Nova de Famalicão",Não,7
"Escola Básica Bernardino Machado, Joane, Vila Nova de Famalicão",Rua de Léognan,160,Joane,252990590,eb23.bmachado@escolas.min-edu.pt,150800,"Agrupamento de Escolas Padre Benjamim Salgado, Vila Nova de Famalicão",Não,7
Colégio Machado Ruivo - Escolinha de Famalicão,Rua Horácio Rebelo Portela,4760-156,Vila Nova de Famalicão,252372325,direcao@colegiomachadoruivo.com,n.a.,n.a.,n.a.,n.a.
Didáxis - Riba de Ave,Rua António Sérgio,188 Apartado 10 - Lugar da Agra,Riba De Ave,252900450,coop.didaxis@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Colégio Mundos de Vida,R. Carlos Moreira,nº 229,Lousado,-,-,n.a.,-,-,-
"Escola Básica Dr. Nuno Simões, Calendário, Vila Nova de Famalicão",Rua Nossa Senhora da Vitória,nº 95,4760-420,252320760,eb23.drnunosimoes@escolas.min-edu.pt,150642,"Agrupamento de Escolas D. Sancho I, Vila Nova de Famalicão",Não,8
"Escola Básica D. Maria II, Gavião, Vila Nova de Famalicão",Rua da Alegria,200 - Gavião,4760-067,252311365,servicos@aedmaria2.edu.gov.pt,151075,"Agrupamento de Escolas Dona Maria II, Vila Nova de Famalicão",Sim,20
"Escola Básica Conde de Arnoso, Vila Nova de Famalicão",Rua da Vale,512,Santa Maria Arnoso,252910220,ebi.arnosostamaria@escolas.min-edu.pt,151075,"Agrupamento de Escolas Dona Maria II, Vila Nova de Famalicão",Não,20
"Escola Básica Júlio Brandão, Vila Nova de Famalicão",R. Padre António José Carvalho Guimarães,4760-158,Vila Nova de Famalicão,252308220,eb23.juliobrandao@escolas.min-edu.pt,151762,"Agrupamento de Escolas Camilo Castelo Branco, Vila Nova de Famalicão",Não,11
"Escola Básica de Gondifelos, Vila Nova de Famalicão",Estação - Outiz,Outiz,4760-692,252314400,eb1.estacaooutiz@escolas.min-edu.pt,150617,"Agrupamento de Escolas de Gondifelos, Vila Nova de Famalicão",Não,5
"Escola Básica de Prado, Vila Verde",Rua Dr. Lima Cruz,Vila De Prado,4730-460,-,-,150897,"Agrupamento de Escolas de Prado, Vila Verde",Não,6
"Escola Básica de Moure e Ribeira do Neiva, Ribeira, Vila Verde",Lugar da Ribeira,Moure Vvd,4730-303,253927185,servicos@aemourerneiva.edu.gov.pt,150885,"Agrupamento de Escolas de Moure e Ribeira do Neiva, Vila Verde",Sim,11
Escola Básica de Vila Verde,Rua da Escola,3025-400,Lamarosa,239951574,eb1.vverdelamarosa@escolas.min-edu.pt,161974,Agrupamento de Escolas Coimbra Centro,Não,21
"Escola Básica Monsenhor Elísio Araújo, Vila Verde",Bairro do Sol,Pico De Regalados,4730-390,253310370,eb23.elisioaraujo@escolas.min-edu.pt,151774,Agrupamento de Escolas de Vila Verde,Não,18
"Escola Básica de Ribeira do Neiva, Vila Verde",Lugar de Aveleda,Lage,4730-240,253927340,eb1.n1.boucos@escolas.min-edu.pt,150885,"Agrupamento de Escolas de Moure e Ribeira do Neiva, Vila Verde",Não,11
"Escola Básica e Secundária de S. Bento, Vizela",Rua da Liberdade,n.º 60,Ínfias Viz,253480320,servicos@aeinfias.edu.gov.pt,100377,"Agrupamento de Escolas de S. Bento, Vizela",Sim,5
Escola Básica e Secundária de Alfândega da Fé,R. da Escola Preparatória,5350-023,Alfândega da Fé,279460010,servicos@alfandegaescola.edu.gov.pt,150447,Agrupamento de Escolas de Alfândega da Fé,Sim,3
"Escola Básica e Secundária Miguel Torga, Bragança",Rua Miguel Torga,5300-037,Bragança,273381467,servicos@aemigueltorga.edu.gov.pt,153059,"Agrupamento de Escolas Miguel Torga, Bragança",Sim,3
"Escola Básica de Izeda, Bragança",R. Fonte dos Passarinhos,5300-608,Izeda,-,-,152973,-,-,-
"Escola Básica Paulo Quintela, Bragança",Av General Humberto Delgado,5300-167,Bragança,273331157,eb23.pauloquintela@escolas.min-edu.pt,151816,"Agrupamento de Escolas Emídio Garcia, Bragança",Não,7
"Escola Básica Augusto Moreno, Bragança",Avenida General Humberto Delgado,5300-167,Bragança,273322470,eb23.augustomoreno@escolas.min-edu.pt,152973,"Agrupamento de Escolas Abade de Baçal, Bragança",Não,8
Escola Básica e Secundária de Carrazeda de Ansiães,Av. Eng.º Camilo de Mendonça,5140-073,Carrazeda de Ansiães,278618190,servicos@aeca.edu.gov.pt,151828,Agrupamento de Escolas de Carrazeda de Ansiães,Sim,2
"Escola Básica Guerra Junqueiro, Freixo de Espada à Cinta",Lg. do Castanheiro,5180-115,Freixo de Espada à Cinta,279653342,eb1.n1.fespadacinta@escolas.min-edu.pt,151208,"Agrupamento de Escolas Guerra Junqueiro, Freixo de Espada à Cinta",Não,3
Escola Básica e Secundária de Macedo de Cavaleiros,Rua Engenheiro Moura Pegado,5340-245,Macedo de Cavaleiros,278421680,servicos@aemcavaleiros.edu.gov.pt,150526,Agrupamento de Escolas de Macedo de Cavaleiros,Sim,5
Escola Básica e Secundária de Miranda do Douro,R. Coronel Eduardo Beça,5210-192,Miranda do Douro,273431330,servicos@aemdouro.edu.gov.pt,150538,Agrupamento de Escolas de Miranda do Douro,Sim,6
"Escola Básica de Sendim, Miranda do Douro",Avenida do Ciclo Preparatório,Sendim,5225-101,273739130,eb23.sendim@escolas.min-edu.pt,150538,Agrupamento de Escolas de Miranda do Douro,Não,6
"Escola Básica Luciano Cordeiro, Mirandela",Bairro do Pinheiro Manso,5370-336,Mirandela,278262530,eb23.lucianocordeiro@escolas.min-edu.pt,152997,Agrupamento de Escolas de Mirandela,Não,10
"Escola Básica de Torre de Dona Chama, Mirandela",Rua da Escola Básica,Torre De Dona Chama,5385-080,278312231,eb12.torredonachama@escolas.min-edu.pt,152997,Agrupamento de Escolas de Mirandela,Não,10
Escola Básica e Secundária do Mogadouro,Rua Luís de Camões,5,5200-279,279341369,servicos@aemogadouro.edu.gov.pt,151191,Agrupamento de Escolas de Mogadouro,Sim,3
"Escola Básica e Secundária Dr. Ramiro Salgado, Torre de Moncorvo",Bairro de S. Paulo,5160-226,Torre de Moncorvo,279200280,servicos@rsalgado-moncorvo.edu.gov.pt,150575,"Agrupamento de Escolas Doutor Ramiro Salgado, Torre de Moncorvo",Sim,8
Escola Básica e Secundária de Vila Flor,Estrada Nacional,5360-461,Vila Flor,278518200,servicos@agrupvilaflor.edu.gov.pt,151841,Agrupamento de Escolas de Vila Flor,Sim,8
Escola Básica de Vimioso,Bairro de S. Sebastião,5230-304,Vimioso,273518060,servicos@aevimioso.edu.gov.pt,150678,Agrupamento de Escolas de Vimioso,Sim,3
"Escola Básica e Secundária D. Afonso III, Vinhais",Rua da Corujeira,nº 22,5320-323,273770100,servicos@aevinhais.edu.gov.pt,150680,"Agrupamento de Escolas D. Afonso III, Vinhais",Sim,8
"Escola Básica e Secundária Pedro Álvares Cabral, Belmonte",Bairro de Santa Maria,6250-046,Belmonte,275910000,servicos@aepac.edu.gov.pt,161100,"Agrupamento de Escolas Pedro Álvares Cabral, Belmonte",Sim,6
Escola Básica Cidade de Castelo Branco,Bairro do Ribeiro das Perdizes,6000-387,Castelo Branco,-,-,162024,-,-,-
"Escola Básica Professor Doutor António Sena Faria de Vasconcelos, Castelo Branco",Qt. da Carapalha,6000-320,Castelo Branco,272339470,esb3.pdasfv@escolas.min-edu.pt,162024,"Agrupamento de Escolas Nuno Álvares, Castelo Branco",Não,8
"Escola Básica e Secundária de Alcains, Castelo Branco",Rua José Sanches Roque,6005-113,Alcains,272900270,servicos@agrup-alcains-svb.edu.gov.pt,160763,Agrupamento de Escolas José Sanches e S. Vicente da Beira,Sim,12
"Escola Básica de São Vicente da Beira, Castelo Branco",S.Vicente da Beira,6005-270,São Vicente Da Beira,272480010,ebi.svicentebeira@escolas.min-edu.pt,160763,Agrupamento de Escolas José Sanches e S. Vicente da Beira,Não,12
"Escola Básica Afonso de Paiva, Castelo Branco",Sarzedas,6000-708,Sarzedas,272947377,eb1.sarzedas@escolas.min-edu.pt,161111,"Agrupamento de Escolas Afonso de Paiva, Castelo Branco",Não,8
"Escola Básica João Roiz de Castelo Branco, Castelo Branco",Av. Cidade Zhuhai,6000-077,Castelo Branco,272349530,eb23.jrcastelobranco@escolas.min-edu.pt,161135,"Agrupamento de Escolas Amato Lusitano, Castelo Branco",Não,5
"Escola Básica n.º 2 de Teixoso, Covilhã",R. João de Deus,Teixoso,6200-679,275922098,eb1.teixoso@escolas.min-edu.pt,161184,"Agrupamento de Escolas de Teixoso, Covilhã",Não,7
"Escola Básica de Tortosendo, Covilhã",R. Nova do Souto,Tortosendo,6200-761,275954690,eb1.n2.tortosendo@escolas.min-edu.pt,162036,"Agrupamento de Escolas Frei Heitor Pinto, Covilhã",Não,18
"Escola Básica de São Domingos, Cantar-Galo, Covilhã",Rua das Escolas,Cantar Galo,Bairro de S. Domingos,275319520,servicos@aealaneve.edu.gov.pt,160702,"Agrupamento de Escolas A Lã e a Neve, Covilhã",Sim,6
"Escola Básica n.º 2 de Paúl, Covilhã",Rua da Ramila,21,Paul,275961022,eb1.paulpisao19@escolas.min-edu.pt,162036,"Agrupamento de Escolas Frei Heitor Pinto, Covilhã",Não,18
"Escola Básica Pêro da Covilhã, Covilhã",Est de Santo Antonio,6200-000,Covilhã,275324349,eb1.stantoniocovilha@escolas.min-edu.pt,161159,"Agrupamento de Escolas Pêro da Covilhã, Covilhã",Não,11
Conservatório Regional de Música da Covilhã,Rua Nuno Álvares Pereira,nº 44,6200-154,275322432,cvm.covilha@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Silvares, Fundão",Sítio das Lameiras - Apartado 1,Silvares Fnd,6230-648,-,-,161123,-,-,-
"Escola Básica Serra da Gardunha, Fundão",Bairro Santa Isabel,6230-297,Fundão,275772928,servicos@aegx.edu.gov.pt,161123,"Agrupamento de Escolas Gardunha e Xisto, Fundão",Sim,20
"Escola Básica João Franco, Fundão",Quinta da Nora - Apart 341,6230-204,Fundão,275750570,eb23.joaofranco@escolas.min-edu.pt,161196,Agrupamento de Escolas do Fundão,Não,11
"Externato ""Capitão Santiago de Carvalho""",Largo Padre José Carvalho de Santiago,nº 6,Alpedrinha,275567211,ext.csdecarvalho@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica e Secundária José Silvestre Ribeiro, Idanha-a-Nova",Rua Doutor Aprígio Melo Leão de Meireles,6060-101,Idanha-a-Nova,277200260,servicos@agrupamentoidanha.edu.gov.pt,160805,"Agrupamento de Escolas José Silvestre Ribeiro, Idanha-a-Nova",Sim,8
"Escola Básica e Secundária Padre António de Andrade, Oleiros",Rua dos Bombeiros Voluntários,nº 12,6160-404,272680210,servicos@aepaa.edu.gov.pt,160489,"Agrupamento de Escolas Padre António de Andrade, Oleiros",Sim,4
"Escola Básica e Secundária Ribeiro Sanches, Penamacor",Sítio do Areal - Apartado 29,6090-531,Penamacor,277390090,servicos@ribeirosanches.edu.gov.pt,161214,"Agrupamento de Escolas Ribeiro Sanches, Penamacor",Sim,2
"Escola Básica e Secundária Pedro da Fonseca, Proença-a-Nova",Av. do Colégio,6150-401,Proença-a-Nova,274670080,servicos@aepnova.edu.gov.pt,160799,Agrupamento de Escolas de Proença-a-Nova,Sim,3
"Instituto ""Vaz Serra""",R. Libanio Vaz Serra,Cernache Do Bonjardim,6100-268,274800060,it.vazserra@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Escola Básica de Sertã,Cumeada,Cumeada,6100-362,274604273,eb1ji.cumeada@escolas.min-edu.pt,161226,Agrupamento de Escolas de Sertã,Não,13
"Escola Básica Padre António Lourenço Farinha, Sertã",Av. D. Nuno Alvares Pereira,6100-733,Sertã,274600190,eb23.palfarinha@escolas.min-edu.pt,161226,Agrupamento de Escolas de Sertã,Não,13
"Escola Básica e Secundária do Centro de Portugal, Vila de Rei",Av. José Cardoso Pires,6110-117,Vila de Rei,274890050,servicos@aevr.edu.gov.pt,160581,Agrupamento de Escolas de Vila de Rei,Sim,2
Escola Básica de Vila Velha de Ródão,Rua da Escola,6030-221,Vila Velha de Ródão,272541041,servicos@aevvr.edu.gov.pt,160787,Agrupamento de Escolas de Vila Velha de Ródão,Sim,2
"Escola Básica Professor Mendes Ferrão, Coja, Arganil",Av. Padre José Vicente,Coja,3305-110,235729511,eb23.pfmendesferrao@escolas.min-edu.pt,161238,Agrupamento de Escolas de Arganil,Não,9
Escola Básica n.º 2 de Arganil,Bairro do Sobreiral,3300-122,Arganil,235200400,eb23.arganil@escolas.min-edu.pt,161238,Agrupamento de Escolas de Arganil,Não,9
Academia de Música de Cantanhede,Rua António da Silva Bronze,3060-140,Cantanhede,231429699,acm.cantanhede@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica e Secundária João Garcia Bacelar, Tocha, Cantanhede",Rua da Escola C+S,Tocha,3060-708,-,-,160179,-,-,-
"Escola Básica Carlos de Oliveira, Febres, Cantanhede",Rua Profª. Ester dos Prazeres Barbosa,Febres,3060-312,231461870,eb23.carlosoliveira@escolas.min-edu.pt,160180,"Agrupamento de Escolas Lima-de-Faria, Cantanhede",Não,8
"Escola Básica Marquês de Marialva, Cantanhede",Rua D. Maria Luísa Campos,Ançã,3060-040,-,-,161240,"Agrupamento de Escolas Marquês de Marialva, Cantanhede",Não,13
"Escola Básica n.º 2 de São Silvestre, Coimbra",R. 25 de Abril nº46,3025-540,São Silvestre,239964735,eb1.ss25abril46@escolas.min-edu.pt,161974,Agrupamento de Escolas Coimbra Centro,Não,21
"Escola Básica Poeta Manuel da Silva Gaio, Santa Clara, Coimbra",Rua Luis António Verney,3040-259,Coimbra,239801180,eb23.manuelsilvagaio@escolas.min-edu.pt,161974,Agrupamento de Escolas Coimbra Centro,Não,21
Colégio de S. José,R. Frei Tomé de Jesus,nº 11,3000-195,239852330,cl.sjosecoimbra@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Colégio Novo de Coimbra,Avenida Dr. José R. Sousa Fernandes,3020-228,Coimbra,239497080,it.educativolordemao@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
St. Paul’s School,Rua D. João - Fala - São Martinho do Bispo,3045-055,Coimbra,239093407,geral@stpauls.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica Rainha Santa Isabel, Pedrulha, Coimbra",Bairro do Ingote,3020-210,Coimbra,239495852,eb1.ingote@escolas.min-edu.pt,161263,"Agrupamento de Escolas Rainha Santa Isabel, Pedrulha, Coimbra",Não,15
"Escola Básica de Ceira, Coimbra",Rua da Escola,3030-906,Ceira,239923179,eb1.vendasceira@escolas.min-edu.pt,161251,Agrupamento de Escolas Coimbra Sul,Não,11
Colégio da Rainha Stª Isabel,R. do Brasil,nº 41,3030-175,239793960,cl.rainhastaisabel@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Colégio Bissaya Barreto,Quinta dos Plátanos,3045-194,Coimbra,239800430,cl.bissayabarreto@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica Eugénio de Castro, Coimbra",Rua Monsenhor Nunes Pereira,3030-482,Coimbra,-,-,161305,"Agrupamento de Escolas Eugénio de Castro, Coimbra",Não,5
"Escola Básica e Secundária Quinta das Flores, Coimbra",Rua Pedro Nunes,3030-199,Coimbra,239791230,servicos@ebsqf.edu.gov.pt,402590,"Escola Básica e Secundária Quinta das Flores, Coimbra",Não,1
Escola de Música São Teotónio,Rua do Brasil,49,3030-175,239701467,esc.mssaoteotonio@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica Martim de Freitas, Coimbra",Av. Dias da Silva nº193,3000-137,Coimbra,-,-,161329,-,-,-
"Escola Básica n.º 2 de Taveiro, Coimbra",R. José Adelino da Silva,nº 28,3045-479,239983075,eb1.taveiro@escolas.min-edu.pt,161986,Agrupamento de Escolas Coimbra Oeste,Não,16
"Escola Básica Inês de Castro, São Martinho do Bispo, Coimbra",Quinta da Vinha Moura,São Martinho do Bispo - Apartado 7051,3040-226,239801330,eb23.inescastro@escolas.min-edu.pt,161986,Agrupamento de Escolas Coimbra Oeste,Não,16
Colégio de S. Teotónio,R. do Brasil,49,3030-175,239701467,cl.steotonio@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica Pintor Mário Augusto, Alhadas, Figueira da Foz",Alhadas,3090-401,Figueira da Foz,233937550,eb23.pmarioaugusto@escolas.min-edu.pt,161354,"Agrupamento de Escolas Figueira Norte, Figueira da Foz",Não,15
"Escola Básica Dr. Pedrosa Veríssimo, Paião, Figueira da Foz",Rua da Escola Dr. Pedrosa Veríssimo,Paião,3090-495,233900700,servicos@aepaiao.edu.gov.pt,161378,"Agrupamento de Escolas de Paião, Figueira da Foz",Sim,12
"Escola Básica João de Barros, Figueira da Foz",Avenida Dr. Manuel Gaspar de Lemos,3080-184,Figueira da Foz,233401620,servicos@aezuff.edu.gov.pt,161380,Agrupamento de Escolas da Zona Urbana da Figueira da Foz,Sim,8
"Escola Básica Infante D. Pedro, Buarcos, Figueira da Foz",R. Rio de Cima - Apartado 44,3080-289,Figueira da Foz,233401310,eb23.infantedpedro@escolas.min-edu.pt,161366,"Agrupamento de Escolas Figueira Mar, Figueira da Foz",Não,6
Escola Básica de Góis,Alvares,Alvares,3330-140,-,-,160192,-,-,-
Escola Básica n.º 1 de Lousã,R Delfim Ferreira,3200-162,Lousã,239994580,eb1.starita@escolas.min-edu.pt,161391,Agrupamento de Escolas da Lousã,Não,9
Escola Básica n.º 2 de Lousã,R Delfim Ferreira,3200-162,Lousã,239994580,eb1.starita@escolas.min-edu.pt,161391,Agrupamento de Escolas da Lousã,Não,9
Escola Básica de Mira,Rua Cidade de Nova York,2650-014,Amadora,-,eb1ji.n2.casalmira@escolas.min-edu.pt,170719,"Agrupamento de Escolas José Cardoso Pires, Amadora",Não,5
"Escola Básica e Secundária José Falcão, Miranda do Corvo",Rua Lídio Alves Gomes,3220-219,Miranda do Corvo,239530010,servicos@aemc.edu.gov.pt,161410,Agrupamento de Escolas de Miranda do Corvo,Sim,13
"Escola Básica Professor Doutor Ferrer Correia, Senhor da Serra, Miranda do Corvo",Rua Fonte dos Castanheiros,Semide,3220-431,239540130,ebiji.pdfcorreia@escolas.min-edu.pt,161410,Agrupamento de Escolas de Miranda do Corvo,Não,13
"Escola Básica de Pereira, Montemor-o-Velho",Rua de Santa Rita,Pereira Mmv,3140-316,239647028,ebi.pereira@escolas.min-edu.pt,161433,Agrupamento de Escolas de Montemor-o-Velho,Não,15
"Escola Básica Dr. José dos Santos Bessa, Carapinheira, Montemor-o-Velho",Rua do Clube Desportivo Carapinheirense,nº4,Carapinheira,239629295,eb23.djsantosbessa@escolas.min-edu.pt,161433,Agrupamento de Escolas de Montemor-o-Velho,Não,15
"Escola Básica de Arazede, Montemor-o-Velho",Rua da Lagoa Grande,Faíscas,Arazede,239600130,eb23.arazede@escolas.min-edu.pt,161433,Agrupamento de Escolas de Montemor-o-Velho,Não,15
Escola Básica e Secundária de Montemor-o-Velho,Lg. Nª Srª. do Desterro,3140-000,Montemor-o-Velho,239687150,servicos@aemontemor-velho.edu.gov.pt,161433,Agrupamento de Escolas de Montemor-o-Velho,Sim,15
"Escola Básica de Cordinha, Oliveira do Hospital",Rua dos Oleiros,Ervedal Ohp,3405-062,238641088,ebi.cordinha@escolas.min-edu.pt,162000,Agrupamento de Escolas de Oliveira do Hospital,Não,19
"Escola Básica de Ponte das Três Entradas, Oliveira do Hospital",Rua António Oliveira,São Sebastião Da Feira,3400-731,238670090,ebi.ptresentradas@escolas.min-edu.pt,162000,Agrupamento de Escolas de Oliveira do Hospital,Não,19
"Escola Básica de Lagares da Beira, Oliveira do Hospital",Bairro Nª Srª da Conceição,Lagares Ohp,3405-155,238640800,ebi.lagaresbeira@escolas.min-edu.pt,162000,Agrupamento de Escolas de Oliveira do Hospital,Não,19
Escola Básica n.º 2 de Oliveira do Hospital,Rua António Oliveira,São Sebastião Da Feira,3400-731,238670090,ebi.ptresentradas@escolas.min-edu.pt,162000,Agrupamento de Escolas de Oliveira do Hospital,Não,19
