Escola,Morada,Freguesia,Código Postal,Telefone,Email,Número Agrupamento,Agrupamento,Sede Escola,Número Escolas Agrupadas
"Escola Básica de Jugueiros, Felgueiras",Rua 25 de Abril 287,Jugueiros,4610-351,-,eb.jugueiros@escolas.min-edu.pt,151490,"Agrupamento de Escolas Doutor Machado de Matos, Felgueiras",Não,11
Externato da Misericórdia de Nossa Senhora do Rosário de Unhão,Lugar do Paço - Felgueiras,Unhão,4650-664,255341031,ji.imnsrosariounhao@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Outeiro, Longra, Felgueiras",Rande - Longra,Rande,4650-328,255341692,eb1.outeirolongra@escolas.min-edu.pt,151440,"Agrupamento de Escolas de Idães, Felgueiras",Não,7
"Escola Básica de Pinheiro, Felgueiras",Rua da Junta de Freguesia,n.º 204,4610-000,255922142,ji.pinheirolampaca@escolas.min-edu.pt,151506,"Agrupamento de Escolas da Lixa, Felgueiras",Não,8
"Escola Básica de Cruzeiro, Vizela (São Jorge), Felgueiras",Cruzeiro - Vizela (São Jorge) - Felgueiras,Vizela (São Jorge),4610-887,255926785,eb1.gsjorgevizela@escolas.min-edu.pt,151490,"Agrupamento de Escolas Doutor Machado de Matos, Felgueiras",Não,11
Escola Básica n.º 1 de Felgueiras,Rua 25 de Abril,n.º 162,4610-430,255922216,ji.staluzialagares@escolas.min-edu.pt,151490,"Agrupamento de Escolas Doutor Machado de Matos, Felgueiras",Não,11
"Escola Básica de Santa Luzia, Lagares, Felgueiras",Rua 25 de Abril,n.º 162,4610-430,255922216,ji.staluzialagares@escolas.min-edu.pt,151490,"Agrupamento de Escolas Doutor Machado de Matos, Felgueiras",Não,11
"Escola Básica de Torrados, Felgueiras",Rua de Nogueira,Torrados,4650-577,255331311,ji.ligrejatorrados@escolas.min-edu.pt,151490,"Agrupamento de Escolas Doutor Machado de Matos, Felgueiras",Não,11
Externato de S. Vicente de Paulo,Avenida Marechal Craveiro Lopes,10,1700-284,217521430,ext.lcsvicentepaulo@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Cimo de Vila, Felgueiras",Cimo de Vila - Refontoura,Refontoura,4610-680,255336244,eb1.cvilafelgueiras@escolas.min-edu.pt,151439,"Agrupamento de Escolas de Airães, Felgueiras",Não,4
"Escola Básica de Vinha, Felgueiras",Vinha,Pedreira Flg,4650-284,255341334,eb1.vinhapedreira@escolas.min-edu.pt,151439,"Agrupamento de Escolas de Airães, Felgueiras",Não,4
"Escola Básica de Margaride, Felgueiras",Rua Manuel Faria e Sousa,4610-178,Felgueiras,255312497,servicos@aedmfs.edu.gov.pt,151520,"Agrupamento de Escolas D. Manuel de Faria e Sousa, Felgueiras",Sim,7
"Escola Básica de Paços, Felgueiras",Rapadica,Revinhade,4650-371,255331816,eb1.pacosrevinhade@escolas.min-edu.pt,151440,"Agrupamento de Escolas de Idães, Felgueiras",Não,7
"Escola Básica de Fontão, Felgueiras",Fontão,4610-000,Felgueiras,255314683,eb1.fontaofriande@escolas.min-edu.pt,151490,"Agrupamento de Escolas Doutor Machado de Matos, Felgueiras",Não,11
"Escola Básica de Ribeirinho, Penacova, Felgueiras",Ribeirinho - Penacova - Felgueiras,4610-000,Felgueiras,255922471,eb1.n1.ribeirinha@escolas.min-edu.pt,151490,"Agrupamento de Escolas Doutor Machado de Matos, Felgueiras",Não,11
"Escola Básica Maria de Lurdes Sampaio de Melo, Vizela",Rua Regador Manuel Costa,135,Santo Adrião Vizela,253584146,eb1.mlsampaiomelo@escolas.min-edu.pt,151786,"Agrupamento de Escolas de Caldas de Vizela, Vizela",Não,9
"Escola Básica de Lagoas, Vizela",Rua Dr. António Pinto nº 120-A,Santo Adrião Vizela,4815-680,253584153,eb1.boavistalagoas@escolas.min-edu.pt,151786,"Agrupamento de Escolas de Caldas de Vizela, Vizela",Não,9
"Escola Básica de Montinho, Regilde, Felgueiras",Montinho - Regilde - Felgueiras,Regilde,4815-621,253584245,eb1.alvura@escolas.min-edu.pt,151490,"Agrupamento de Escolas Doutor Machado de Matos, Felgueiras",Não,11
"Escola Básica de Salgueiros, Felgueiras",Salgueiros - Sousa,Sousa,4650-527,255331867,eb1.sfelgueiras@escolas.min-edu.pt,151440,"Agrupamento de Escolas de Idães, Felgueiras",Não,7
"Escola Básica de Estradinha, Sendim, Felgueiras",Rua António Fonseca Moreira,Sendim Flg,4610-744,255924301,eb1.estradinha@escolas.min-edu.pt,151490,"Agrupamento de Escolas Doutor Machado de Matos, Felgueiras",Não,11
"Escola Básica de Boavista, Felgueiras",Boavista,4610-000,Felgueiras,255330387,eb1.boavistasernande@escolas.min-edu.pt,151440,"Agrupamento de Escolas de Idães, Felgueiras",Não,7
"Escola Básica de Covelo, Felgueiras",Moure FLG,4610-461,Felgueiras,255923217,eb1.covelomoure@escolas.min-edu.pt,151520,"Agrupamento de Escolas D. Manuel de Faria e Sousa, Felgueiras",Não,7
"Escola Básica de Estrada, Varziela, Felgueiras",Bairro S. Miguel,Varziela,4650-701,255313754,eb1.estradavarziela@escolas.min-edu.pt,151520,"Agrupamento de Escolas D. Manuel de Faria e Sousa, Felgueiras",Não,7
"Escola Básica de Caramos, Felgueiras",Caramos,Caramos,4610-023,255495175,eb1.mosteirocaramos@escolas.min-edu.pt,151506,"Agrupamento de Escolas da Lixa, Felgueiras",Não,8
"Escola Básica de Valbom, Gondomar",Rua Salvador Lopes,Valbom Gdm,4420-618,-,-,151970,"Agrupamento de Escolas de Valbom, Gondomar",Não,8
Escola Básica n.º 1 de Gondomar,Rua da Costeirinha,Melres,4515-506,224761162,eb1ji.n1.cimovila@escolas.min-edu.pt,151105,"Agrupamento de Escolas À Beira Douro, Gondomar",Não,7
"Grande Colégio ""Universal""",R. da Boavista,158/168,4050-102,222000767,cl.universal@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica da Venda Nova, Gondomar",Rua Serafim Pereira Coutinho,Rio Tinto,4435-599,-,-,151981,"Agrupamento de Escolas Infanta Dona Mafalda, Gondomar",Não,5
"Escola Básica de Carvalhal e Mó, S. Pedro da Cova, Gondomar",Rua Maria Lamas,São Pedro Da Cova,4510-325,-,-,152018,"Agrupamento de Escolas de São Pedro da Cova, Gondomar",Não,7
"Escola Básica da Boavista - Lourinha, Gondomar",Rua Estrada Nova,Rio Tinto,4435-234,-,-,151981,"Agrupamento de Escolas Infanta Dona Mafalda, Gondomar",Não,5
"Escola Básica de Baguim do Monte, Gondomar",Rua Monte Branco,Baguim Do Monte,4435-738,229755266,eb23.fmanuelstaines@escolas.min-edu.pt,150009,"Agrupamento de Escolas n.º 3 de Rio Tinto, Gondomar",Não,9
"Escola Básica de Carvalhos, Gondomar",Rua dos Carvalhos,Medas,4515-370,224761351,eb1.carvalhosmedas@escolas.min-edu.pt,151105,"Agrupamento de Escolas À Beira Douro, Gondomar",Não,7
"Escola Básica de Santegãos, Gondomar",Rua das Escolas Novas,Rio Tinto,4435-228,229717382,eb1.santegaos@escolas.min-edu.pt,152043,"Agrupamento de Escolas de Pedrouços, Maia",Não,10
Colégio Madre Isabel Larranaga,Rua do Taralhão,nº 585,4420-336,224663090,cl.misabellarranaga@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Lagoa, Valbom, Gondomar",Rua Jaime Cortesão,Valbom Gdm,4420-469,224675573,eb1.lagoavalbom@escolas.min-edu.pt,151970,"Agrupamento de Escolas de Valbom, Gondomar",Não,8
Externato Camões,R. Dr. Francisco Zagalo,3880-225,Ovar,256575720,ext.luiscamoes@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Passal, Gondomar",Rua Nova do Passal,São Pedro Da Cova,4510-348,224647752,eb1.passalspedrocova@escolas.min-edu.pt,152018,"Agrupamento de Escolas de São Pedro da Cova, Gondomar",Não,7
"Externato ""Santa Margarida""",Rua Manuel Ribeiro de Almeida,141,4420-195,224830104,ext.santamargarida@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Vila Verde, Gondomar",Rua 5 de Outubro,São Pedro Da Cova,4510-165,224645637,eb1.vverdespedrocova@escolas.min-edu.pt,152018,"Agrupamento de Escolas de São Pedro da Cova, Gondomar",Não,7
"Escola Básica de Jancido, Gondomar",Rua da Escola Nova,Foz Do Sousa,4515-125,224500080,eb1.jancido@escolas.min-edu.pt,151993,Agrupamento de Escolas n.º 1 de Gondomar,Não,10
"Escola Básica de Branzelo, Gondomar",Lugar de Branzelo,Melres,4515-498,224761640,eb1.branzelo@escolas.min-edu.pt,151105,"Agrupamento de Escolas À Beira Douro, Gondomar",Não,7
"Escola Básica do Taralhão, Gondomar",Lg. do Souto de Pereira,4420-334,Gondomar,224645731,eb1.taralhao@escolas.min-edu.pt,151968,"Agrupamento de Escolas Júlio Dinis, Gondomar",Não,11
"Escola Básica de Sante, Gondomar",Rua da Louseira,Cx. Postal 126,Lomba Gdm,255762593,eb1.sante@escolas.min-edu.pt,151294,"Agrupamento de Escolas de Canedo, Santa Maria da Feira",Não,5
"Escola Básica de Vinhal, Gondomar",Rua de S. Damião,4420-314,Gondomar,224643852,eb1.vgsaocosme@escolas.min-edu.pt,151968,"Agrupamento de Escolas Júlio Dinis, Gondomar",Não,11
"Escola Básica de Jovim e Foz do Sousa, Gondomar",Rua Srª das Dores,Jovim,4510-138,224507440,eb23.jovim@escolas.min-edu.pt,151993,Agrupamento de Escolas n.º 1 de Gondomar,Não,10
"Escola Básica de Souto, Gondomar",Pç. da República,4420-294,Gondomar,224644316,eb1.soutogondomar@escolas.min-edu.pt,151968,"Agrupamento de Escolas Júlio Dinis, Gondomar",Não,11
"Escola Básica n.º 2 de São Caetano, Gondomar",Tv S Caetano,Rio Tinto,4435-433,224808214,eb1.n2.scaetano@escolas.min-edu.pt,152006,"Agrupamento de Escolas de Rio Tinto, Gondomar",Não,8
"Escola Básica de Chães, Gondomar",Rua Aldeia Nova,Covelo Gdm,4515-015,224501087,eb1.chaes@escolas.min-edu.pt,151105,"Agrupamento de Escolas À Beira Douro, Gondomar",Não,7
"Escola Básica da Boavista, Gondomar",R. de Arrifana,Rio Tinto,4435-332,224806575,eb1.boavistariotinto@escolas.min-edu.pt,151981,"Agrupamento de Escolas Infanta Dona Mafalda, Gondomar",Não,5
"Escola Básica de Alvarinha, Gondomar",Rua das Escolas Primárias,Fânzeres,4510-558,224646426,eb1.alvarinha@escolas.min-edu.pt,151956,"Agrupamento de Escolas Santa Bárbara, Gondomar",Não,6
"Escola Básica de Aguiar, Gondomar",R. Nossa Senhora dos Remédios,4420-215,Gondomar,224503511,eb1.agsaocosme@escolas.min-edu.pt,151968,"Agrupamento de Escolas Júlio Dinis, Gondomar",Não,11
"Escola Básica de Seixo, Gondomar",Rua dos Crisântemos,Fânzeres,4510-647,224805124,eb1ji.n2.regadas@escolas.min-edu.pt,150009,"Agrupamento de Escolas n.º 3 de Rio Tinto, Gondomar",Não,9
"Escola Básica de Gandra, Gondomar",Rua Central de Ermentão,4420-154,Gondomar,224834676,eb1.ggsaocosme@escolas.min-edu.pt,151968,"Agrupamento de Escolas Júlio Dinis, Gondomar",Não,11
"Escola Básica de Atães, Gondomar",Largo de São Domingos,Jovim,4510-134,224503997,eb1.ataes@escolas.min-edu.pt,151993,Agrupamento de Escolas n.º 1 de Gondomar,Não,10
"Escola Básica n.º 1 de São Caetano, Gondomar",Tv S Caetano,Rio Tinto,4435-433,224808214,eb1.n2.scaetano@escolas.min-edu.pt,152006,"Agrupamento de Escolas de Rio Tinto, Gondomar",Não,8
"Escola Básica de Cabanas, Gondomar",R. S Tome E Principe,Rio Tinto,4435-444,224803300,eb1.cabanasriotinto@escolas.min-edu.pt,152006,"Agrupamento de Escolas de Rio Tinto, Gondomar",Não,8
"Escola Básica de Belo Horizonte, Gondomar",R.Jose Coelho da Silveira,4420-199,Gondomar,224833226,eb1.belohorizonte@escolas.min-edu.pt,152018,"Agrupamento de Escolas de São Pedro da Cova, Gondomar",Não,7
Colégio Mundo do Colibri,Rua Serafim Pereira Coutinho n.º 46,Rio Tinto,4435-485,-,-,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Pinheiro de Além, Gondomar",R. Fonte do Vale,Valbom Gdm,4420-460,224646721,eb1.pinheiroalem@escolas.min-edu.pt,151970,"Agrupamento de Escolas de Valbom, Gondomar",Não,8
"Escola Básica de Cimo de Vila, Gondomar",Rua da Costeirinha,Melres,4515-506,224761162,eb1ji.n1.cimovila@escolas.min-edu.pt,151105,"Agrupamento de Escolas À Beira Douro, Gondomar",Não,7
"Escola Básica n.º 2 de Bela Vista, Fânzeres, Gondomar",Estrada de D. Miguel,Fânzeres,4510-547,224645636,eb1ji.n2.belavista@escolas.min-edu.pt,151956,"Agrupamento de Escolas Santa Bárbara, Gondomar",Não,6
"Escola Básica de Boucinha, Gondomar",Avenida das Forças Armadas,Rio Tinto,4435-029,229734186,eb1.boucinhariotinto@escolas.min-edu.pt,152043,"Agrupamento de Escolas de Pedrouços, Maia",Não,10
"Escola Básica de Outeiro, Gondomar",Rua Padre Manuel Rodrigues Pinho Pinhal,Foz Do Sousa,4515-103,224503946,eb1.outeirojovim@escolas.min-edu.pt,151993,Agrupamento de Escolas n.º 1 de Gondomar,Não,10
"Escola Básica de Arroteia, Gondomar",R. dos Bombeiros Voluntários,4420-000,Gondomar,224646412,eb1.arroteia@escolas.min-edu.pt,151970,"Agrupamento de Escolas de Valbom, Gondomar",Não,8
Colégio Paulo VI de Gondomar,Rua do Taralhão,nº 71,4420-336,224646027,ext.pauloviscosme@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
Colégio da Quinta Inglesa,Rua da Cavada,n.º 35,4420-074,224635675,cl.quintainglesa@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Alto de Soutelo, Gondomar",R. Professor Moreira,Fânzeres,4510-643,224892772,eb1.altosoutelo@escolas.min-edu.pt,152006,"Agrupamento de Escolas de Rio Tinto, Gondomar",Não,8
"Escola Básica de Zebreiros, Gondomar",R. Escola,Foz Do Sousa,4515-125,224540815,eb1.zebreiros@escolas.min-edu.pt,151105,"Agrupamento de Escolas À Beira Douro, Gondomar",Não,7
"Escola Básica de Gens, Gondomar",R. da Escola,4420-000,Gondomar,224500101,eb1ji.gens@escolas.min-edu.pt,151993,Agrupamento de Escolas n.º 1 de Gondomar,Não,10
"Escola Básica de Vale de Ferreiros, Gondomar",Rua de Monte Pedro,Baguim Do Monte,4435-743,224804958,eb1.valeferreiros@escolas.min-edu.pt,150009,"Agrupamento de Escolas n.º 3 de Rio Tinto, Gondomar",Não,9
"Escola Básica de Silveirinhos, Gondomar",Rua Escola de Silveirinhos,São Pedro Da Cova,4510-268,224647218,eb1.silveirinhos@escolas.min-edu.pt,152018,"Agrupamento de Escolas de São Pedro da Cova, Gondomar",Não,7
"Escola Básica de Montezelo, Gondomar",Rua de Montezelo,Fânzeres,4510-609,224880134,eb1ji.montezelo@escolas.min-edu.pt,151956,"Agrupamento de Escolas Santa Bárbara, Gondomar",Não,6
"Escola Básica de Ramalde, Gondomar",Rua da Escola de Ramalde,4420-137,Gondomar,224645453,eb1.ramalde@escolas.min-edu.pt,151968,"Agrupamento de Escolas Júlio Dinis, Gondomar",Não,11
"Escola Básica de Lustosa, Lousada",Lugar de S. Roque,Lustosa,4620-268,-,-,150370,"Agrupamento de Escolas Doutor Mário Fonseca, Lousada",Não,11
"Escola Básica do Torno, Lousada",Rua de Cesões,Torno,4620-762,-,-,151464,Agrupamento de Escolas de Lousada Este,Não,6
"Escola Básica de Vilar do Torno e Alentém, Lousada",Rua de Gibreiros,4620-695,Lousada,-,-,151464,Agrupamento de Escolas de Lousada Este,Não,6
"Escola Básica e Secundária Dr. Mário Fonseca, Nogueira, Lousada",Rua do Jogo da Bola,Nogueira Lsd,4620-460,939862024,servicos@aemariofonseca.edu.gov.pt,150370,"Agrupamento de Escolas Doutor Mário Fonseca, Lousada",Sim,11
"Escola Básica de Nespereira, Lousada",Rua do Além 10,Nespereira Lsd,4620-911,-,-,151531,Agrupamento de Escolas de Lousada Oeste,Não,9
"Escola Básica de Caíde de Rei, Lousada",Rua Prof. Trigo,Caíde De Rei,4620-058,-,-,151464,Agrupamento de Escolas de Lousada Este,Não,6
"Escola Básica de Lodares, Lousada",Av.ª da Planicie,Lodares,4620-220,-,-,151531,Agrupamento de Escolas de Lousada Oeste,Não,9
"Escola Básica de Sousela, Lousada",Lugar Cimo de Vila,Sousela,4620-714,-,-,150370,"Agrupamento de Escolas Doutor Mário Fonseca, Lousada",Não,11
Externato Senhora do Carmo,Casa da Fonte - Vilar do Torno e Alentém,Vilar Do Torno E Alentém,4620-823,255911362,ext.sracarmo@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Boavista, Silvares, Lousada",Lugar de Boavista,4620-638,Lousada,255812644,eb1.n1.lousada@escolas.min-edu.pt,151518,Agrupamento de Escolas de Lousada,Não,7
"Escola Básica de Lagoas, Lousada",Nevogilde,Nevogilde Lsd,4620-429,255812033,eb1.n2.lagoas@escolas.min-edu.pt,151531,Agrupamento de Escolas de Lousada Oeste,Não,9
Colégio de S. José de Bairros,Rua das Minas,Lodares,4620-219,968657190,geral@colegiosaojosedebairros.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Santo António, Lousada",Santo António,Casais Lsd,4620-092,255815433,eb1.stantoniocasais@escolas.min-edu.pt,151531,Agrupamento de Escolas de Lousada Oeste,Não,9
"Escola Básica n.º 1 de Cruzeiro, Lousada",Cruzeiro,Cernadelo,4620-100,255821953,eb1.ccernadelo@escolas.min-edu.pt,151464,Agrupamento de Escolas de Lousada Este,Não,6
"Escola Básica da Devesinha, Bonviver, Vizela",Lugar do Bonviver,Santa Eulália Viz,4620-529,253586148,eb1.n1.devesinha@escolas.min-edu.pt,151786,"Agrupamento de Escolas de Caldas de Vizela, Vizela",Não,9
"Escola Básica de Meinedo, Lousada",Meinedo,Meinedo,4620-356,255829111,eb1.casaismeinedo@escolas.min-edu.pt,151464,Agrupamento de Escolas de Lousada Este,Não,6
"Escola Básica de Estrada do Meio, Lousada",Avenida do Souto,Macieira Lsd,4620-310,255815321,eb1.estradameio@escolas.min-edu.pt,150370,"Agrupamento de Escolas Doutor Mário Fonseca, Lousada",Não,11
"Escola Básica de Pias, Lousada",Pias,Pias Lsd,4620-505,255814390,eb1.subdevesas@escolas.min-edu.pt,151518,Agrupamento de Escolas de Lousada,Não,7
"Escola Básica de Monte de Sines, Lousada",Monte Sines - Covas,Covas Lsd,4620-111,255815369,eb1.almedinha@escolas.min-edu.pt,151531,Agrupamento de Escolas de Lousada Oeste,Não,9
"Escola Básica de Cristelos, Lousada",R. Padre Joaquim Ribeiro da Mota,nº170,4620-134,255814656,eb1.n2.lousada@escolas.min-edu.pt,151518,Agrupamento de Escolas de Lousada,Não,7
"Escola Básica de Telheiro, Lousada",São Miguel,4620-000,Lousada,255814783,eb1.tlsaomiguel@escolas.min-edu.pt,150370,"Agrupamento de Escolas Doutor Mário Fonseca, Lousada",Não,11
"Escola Básica de Ordem, Lousada",Lugar de Bouça,Ordem,4620-472,255815653,eb1.ordemlugarbouca@escolas.min-edu.pt,151518,Agrupamento de Escolas de Lousada,Não,7
"Escola Básica de Mourinho, Lousada",Aveleda,Aveleda Lsd,4620-023,255812331,eb1.mourinho@escolas.min-edu.pt,150370,"Agrupamento de Escolas Doutor Mário Fonseca, Lousada",Não,11
"Escola Básica de Campo, Lousada",Nevogilde,Nevogilde Lsd,4620-419,255815514,eb1.n1.lagoas@escolas.min-edu.pt,151531,Agrupamento de Escolas de Lousada Oeste,Não,9
"Escola Básica de Mós, Lousada",Mós - Silvares,4620-000,Lousada,255812503,eb1.moslousada@escolas.min-edu.pt,150370,"Agrupamento de Escolas Doutor Mário Fonseca, Lousada",Não,11
"Escola Básica de Carmo, Santo Estevão de Barrosas, Lousada",Rua da Igreja,Santo Estevão Barrosas,4620-615,255330096,eb1.csebarrosas@escolas.min-edu.pt,150370,"Agrupamento de Escolas Doutor Mário Fonseca, Lousada",Não,11
"Escola Básica de Boim, Lousada",Rua Joaquim Teixeira,144,Boim,255811254,eb1.igrejaboim@escolas.min-edu.pt,151518,Agrupamento de Escolas de Lousada,Não,7
"Escola Básica de Igreja, Figueiras, Lousada",Igreja,Figueiras,4620-200,255879791,eb1.igrejafigueiras@escolas.min-edu.pt,151531,Agrupamento de Escolas de Lousada Oeste,Não,9
"Escola Básica de Monte - Santa Eulália, Vizela",Monte,Santa Eulália,Santa Eulália Viz,253582288,eb1.montestaeulalia@escolas.min-edu.pt,151786,"Agrupamento de Escolas de Caldas de Vizela, Vizela",Não,9
"Escola Básica n.º 1 de Gueifães, Maia",Avª Comendador Carlos Ferreira da Silva,4470-030,Maia,229016804,eb23.gueifaes@escolas.min-edu.pt,152020,Agrupamento de Escolas da Maia,Não,4
"Escola Básica de Gandra, Águas Santas, Maia",Praça Dr. José Vieira de Carvalho,4470-202,Maia,-,-,152961,"Agrupamento de Escolas de Águas Santas, Maia",Não,5
Escola Básica n.º 1 da Maia,Topo da R. Carvalho Araújo,2720-001,Amadora,214906036,servicos@agan.edu.gov.pt,172182,"Agrupamento de Escolas Doutor Azevedo Neves, Amadora",Sim,3
"Escola Básica da Guarda, Moreira, Maia",R. Real,4470-647,Maia,914794586,eb1ji.guarda@escolas.min-edu.pt,152055,"Agrupamento de Escolas Doutor Vieira de Carvalho, Maia",Não,6
"Escola Básica de Folgosa, Maia",Rua Santo Ovideo,4425-379,Maia,229686040,eb1ji.stacristina@escolas.min-edu.pt,152079,"Agrupamento de Escolas do Levante da Maia, Maia",Não,7
"Escola Básica de Parada, Pedrouços, Maia",Rua do Paço,4425-656,Maia,229022672,eb1ji.parada@escolas.min-edu.pt,152043,"Agrupamento de Escolas de Pedrouços, Maia",Não,10
"Escola Básica de Enxurreiras, Pedrouços, Maia",Trav. Gonçalo Mendes da Maia,4425-656,Maia,229022672,eb1ji.enxurreiras@escolas.min-edu.pt,152043,"Agrupamento de Escolas de Pedrouços, Maia",Não,10
"Escola Básica de Mandim, Barca, Maia",Rua Velha de Mandim,4475-054,Maia,229416002,eb1.mandim@escolas.min-edu.pt,152067,"Agrupamento de Escolas do Castêlo da Maia, Maia",Não,11
"Escola Básica de Crestins, Maia",R. do Monte das Pedras,4470-633,Maia,914793562,eb1ji.crestins@escolas.min-edu.pt,152055,"Agrupamento de Escolas Doutor Vieira de Carvalho, Maia",Não,6
"Escola Básica n.º 2 de Gueifães, Maia",Avª Comendador Carlos Ferreira da Silva,4470-030,Maia,229016804,eb23.gueifaes@escolas.min-edu.pt,152020,Agrupamento de Escolas da Maia,Não,4
Externato Patronato Imaculada Conceição,Rua do Calvário,nº 307 Gueifães,4470-028,229448329,ext.pimaculada@escolas.min-edu.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Gestalinho, Maia",R. Padre Abílio Sampaio,4475-001,Maia,229415091,eb1ji.gestalinho@escolas.min-edu.pt,152067,"Agrupamento de Escolas do Castêlo da Maia, Maia",Não,11
"Escola Básica de Frejufe, Silva Escura, Maia",R. de Frejufe,4475-829,Maia,229810284,eb1ji.frejufe@escolas.min-edu.pt,152079,"Agrupamento de Escolas do Levante da Maia, Maia",Não,7
"Escola Básica de Currais, Maia",R. Padre Luís Campos,4470-324,Maia,229414618,eb1.currais@escolas.min-edu.pt,152031,"Agrupamento de Escolas Gonçalo Mendes da Maia, Maia",Não,6
"Escola Básica de Ferronho, São Pedro de Avisoso, Maia",R. de Paredes,4475-716,Maia,229820874,eb1ji.ferronho@escolas.min-edu.pt,152067,"Agrupamento de Escolas do Castêlo da Maia, Maia",Não,11
"Escola Básica de Moutidos, Águas Santas, Maia",Rua dos Moutidos,4425-143,Maia,229759812,eb1ji.moutidos@escolas.min-edu.pt,152961,"Agrupamento de Escolas de Águas Santas, Maia",Não,5
"Escola Básica de Monte do Calvário, Nogueira, Maia",R. Prof Laurinda Dias da Silva,4475-469,Maia,229415457,eb1ji.n1.barroso@escolas.min-edu.pt,152079,"Agrupamento de Escolas do Levante da Maia, Maia",Não,7
"Escola Básica da Seara, Gemunde, Maia",Rua da Escola-Urbanizaçãoda Seara,4475-127,Maia,229820870,eb1.searagemunde@escolas.min-edu.pt,152067,"Agrupamento de Escolas do Castêlo da Maia, Maia",Não,11
"Escola Básica de Monte das Cruzes, Milheirós, Maia",R. das Escolas,4475-339,Maia,229734622,eb1.montecruzes@escolas.min-edu.pt,152079,"Agrupamento de Escolas do Levante da Maia, Maia",Não,7
"Escola Básica n.º 2 de Pedrouços, Maia",Rua Margarida Ferreira de Araújo Guimarães,4425-296,Maia,229773950,servicos@aep.edu.gov.pt,152043,"Agrupamento de Escolas de Pedrouços, Maia",Sim,10
"Escola Básica de Arcos, São Pedro Fins, Maia",R. Central Arcos,4425-513,Maia,229685509,eb1ji.arcos@escolas.min-edu.pt,152079,"Agrupamento de Escolas do Levante da Maia, Maia",Não,7
"Escola Básica de Porto Bom, Gondim, Maia",R. Escola Nova,4475-219,Maia,229820229,eb1ji.portobom@escolas.min-edu.pt,152067,"Agrupamento de Escolas do Castêlo da Maia, Maia",Não,11
"Escola Básica de Pícua, Águas Santas, Maia",Urbanização Quinta da Pícua - Águas Santas,4425-026,Maia,229720212,eb1.picua@escolas.min-edu.pt,152961,"Agrupamento de Escolas de Águas Santas, Maia",Não,5
"Escola Básica de Giesta, Pedrouços, Maia",R. General Humberto Delgado,4425-653,Maia,229734763,eb1.giestapedroucos@escolas.min-edu.pt,152043,"Agrupamento de Escolas de Pedrouços, Maia",Não,10
Colégio O Castelo da Maia,Rua de Castro,996,4475-012,229471726,colegiocastelodamaia@gmail.com,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Pedras Rubras, Maia",R. Joaquim Faria Moreira Ramalhão,4470-610,Maia,914792809,eb1ji.pedrasrubras@escolas.min-edu.pt,152055,"Agrupamento de Escolas Doutor Vieira de Carvalho, Maia",Não,6
Colégio CCG,Rua de Moçambique,lote 67 - Urbanização Casal Vaz,2330-244,249098261,geral@andradecorvo.pt,n.a.,n.a.,n.a.,n.a.
"Escola Básica de Corim, Águas Santas, Maia",R. Restauradores do Braz Oleiro,4425-026,Maia,229734228,eb1.corim@escolas.min-edu.pt,152961,"Agrupamento de Escolas de Águas Santas, Maia",Não,5
"Escola Básica de Cidade Jardim, Vermoim, Maia",R. de Santo António,4470-240,Maia,229483900,eb1ji.cidadejardim@escolas.min-edu.pt,152031,"Agrupamento de Escolas Gonçalo Mendes da Maia, Maia",Não,6
"Escola Básica de Ferreiró, Maia",R. Senhor da Agonia,4475-603,Maia,229821917,eb1.fasantamaria@escolas.min-edu.pt,152067,"Agrupamento de Escolas do Castêlo da Maia, Maia",Não,11
"Escola Básica Santa Cristina, Folgosa, Maia",Rua Santo Ovideo,4425-379,Maia,229686040,eb1ji.stacristina@escolas.min-edu.pt,152079,"Agrupamento de Escolas do Levante da Maia, Maia",Não,7
"Escola Básica Lidador, Vila Nova da Telha, Maia",Rua 5 - Urbanização do Lidador,4470-714,Maia,914792709,eb1ji.lidador@escolas.min-edu.pt,152055,"Agrupamento de Escolas Doutor Vieira de Carvalho, Maia",Não,6
"Escola Básica D. Manuel II, Maia",R. Pereira e Sousa,60,1350-237,213859730,eb1.n6.lisboa@escolas.min-edu.pt,171724,"Agrupamento de Escolas Manuel da Maia, Lisboa",Não,3
"Escola Básica de Prozela, Maia",R. de Caralinda,4470-750,Maia,914797641,eb1ji.prozela@escolas.min-edu.pt,152055,"Agrupamento de Escolas Doutor Vieira de Carvalho, Maia",Não,6
